Url,Name,Brand,Model,Type,City,Engine,Color,Fuel_Type,Warranty,Dealer_Name,Chassis,Year,Door,Seats,Power,Date
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=687795725&endYear=2022&isNewSearch=false&listingTypes=USED&makeCodeList=GMC&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fgmc%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2018 GMC Sierra 1500 SLT,,,,,5.3L 8-Cylinder Gas Engine,,,,,,,,,,"31/08/2023, 14:54:32"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=681262912&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fchry%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2019 Chevrolet Corvette ZR1 Coupe w/ 3ZR,,,,,6.2L 8-Cylinder Supercharged Gas Engine,,,,,,,,,,"31/08/2023, 14:54:37"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=691846352&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Folds%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=spotlight,Used 2019 Chevrolet Traverse High Country,,,,,3.6L 6-Cylinder Gas Engine,,,,,,,,,,"31/08/2023, 14:54:41"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=689784154&endYear=2022&isNewSearch=false&listingTypes=USED&makeCodeList=NISSAN&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fnissan%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2012 Nissan Rogue SL,,,,,2.5L 4-Cylinder Gas Engine,,,,,,,,,,"31/08/2023, 14:54:46"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=661095126&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fhyund%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2022 Dodge Challenger SRT Hellcat,,,,,6.2L 8-Cylinder Supercharged Gas Engine,,,,,,,,,,"31/08/2023, 14:54:50"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=691005870&endYear=2022&isNewSearch=false&listingTypes=USED&makeCodeList=SMART&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fsmart%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2013 smart fortwo Coupe,,,,,1.0L 3-Cylinder Gas Engine,,,,,,,,,,"31/08/2023, 14:54:55"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=666705402&endYear=2022&isNewSearch=false&listingTypes=USED&makeCodeList=BUGATTI&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fbugatti%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2018 Bugatti Chiron,,,,,8.0L 16-Cylinder Turbo Gas Engine,,,,,,,,,,"31/08/2023, 14:55:00"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=673678749&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Folds%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2018 Ferrari 488 Spider,,,,,3.9L 8-Cylinder Turbo Gas Engine,,,,,,,,,,"31/08/2023, 14:55:04"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=691420067&endYear=2022&isNewSearch=false&listingTypes=USED&makeCodeList=LUCID&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Flucid%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2022 Lucid Air Dream Edition,,,,,Electric Engine,,,,,,,,,,"31/08/2023, 14:55:09"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=690578504&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fisu%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2020 Mercedes-Benz S 63 AMG 4MATIC Sedan,,,,,4.0L 8-Cylinder Turbo Gas Engine,,,,,,,,,,"31/08/2023, 14:55:13"
